SUB_DIMENSION,SHORT NAME,isReverseRelation,HE FACTOR,EN FACTOR,HE EXPLANATION ,EN EXPLANATION,HE HIGH MALE,HE HIGH FEMALE,EN HIGH,HE AVG MALE,HE AVG FEMALE,EN AVG,HE LOW MALE,HE LOW FEMALE,EN LOW
standards,OUTCOME DRIVEN,1,תוצאתיות,Outcome Driven ,,,יציב לעצמו ולאחרים סטנרטים גבוהים וישאף לדיוק בעבודתו,תציב לעצמה ולאחרים סטנרטים גבוהים ותשאף לדיוק בעבודתה,,,,,יטה להיות בעל סטנדרטים נמוכים לביצוע,תיטה להיות בעל סטנדרטים נמוכים לביצוע,
behavior_under_stress,EMOTIONAL STABILITY,1,יציבות רגשית,Emotional stability,"יכולתו של אדם לכוון ולאזן את רגשותיו בהתאם למצב נתון, גם אם מדובר במצב מורכב או קיצוני.",,"במצבי לחץ ואינטראקציות קשות מול לקוחות יטיב לשמור על איזון ולנהל את רגשותיו והתנהגותו.
יצליח לשמור על מיקוד גם במצבים מעוררי כעס/תסכול ולהשלים את משימותיו.
","במצבי לחץ ואינטראקציות קשות מול לקוחות תיטיב לשמור על איזון ולנהל את רגשותיה והתנהגותה.
תצליח לשמור על מיקוד גם במצבים מעוררי כעס/תסכול ולהשלים את משימותיה.
",,"מצבי לחץ ואינטראקציות קשות מול לקוחות עשויים להוציא אותו מאיזון. עלול להתקשות לנהל את רגשותיו והתנהגותו במצבים אלו.
עשוי לאבד מיקוד במצבים מעוררי כעס/תסכול. עם זאת, סביר שלאחר זמן מה יצליח להתעשת ולהשלים משימותיו.","מצבי לחץ ואינטראקציות קשות מול לקוחות עשויים להוציא אותו מאיזון. עלול להתקשות לנהל את רגשותיו והתנהגותו במצבים אלו.
עשוי לאבד מיקוד במצבים מעוררי כעס/תסכול. עם זאת, סביר שלאחר זמן מה יצליח להתעשת ולהשלים משימותיו.",,"יתקשה להתנהל בצורה קורקטית ולנהל את רגשותיו במצבי לחץ ואינטראקציות קשות מול לקוחות.
יאבד מיקוד במצבים מעוררי כעס/תסכול ויתקשה לסיים את משימותיו.","תתקשה להתנהל בצורה קורקטית ולנהל את רגשותיה במצבי לחץ ואינטראקציות קשות מול לקוחות.
תאבד מיקוד במצבים מעוררי כעס/תסכול ותתקשה לסיים את משימותיה.",
recovery_from_crisis,EMOTIONAL STABILITY,1,יציבות רגשית,Emotional stability,,,יצליח להתאושש ולחזור לתפקוד תקין במהירות לאחר מצבים מעוררי לחץ/תסכול.,תצליח להתאושש ולחזור לתפקוד תקין במהירות לאחר מצבים מעוררי לחץ/תסכול.,,יקח לו זמן מה להתאושש ולחזור לתפקוד תקין לאחר מצבים מעוררי לחץ/תסכול.,יקח לו זמן מה להתאושש ולחזור לתפקוד תקין לאחר מצבים מעוררי לחץ/תסכול.,,יתקשה להתאושש ולחזור לתפקוד תקין לאחר מצבים מעוררי לחץ/תסכול.,תתקשה להתאושש ולחזור לתפקוד תקין לאחר מצבים מעוררי לחץ/תסכול.,
ease_of_stress,EMOTIONAL STABILITY,1,יציבות רגשית,Emotional stability,,,יטיב להישאר רגוע ומאוזן במצבים מעוררי לחץ ותסכול.,תיטיב להישאר רגועה ומאוזנת במצבים מעוררי לחץ ותסכול.,,"ברוב המקרים יצליח להישאר רגוע ומאוזן במצבים מעוררי לחץ ותסכול. עם זאת, מצבים מאתגרים במיוחד עשויים להוציא אותו מאיזון.","ברוב המקרים יצליח להישאר רגוע ומאוזן במצבים מעוררי לחץ ותסכול. עם זאת, מצבים מאתגרים במיוחד עשויים להוציא אותו מאיזון.",,יטה להילחץ ולהפוך למתוסכל במהירות,תיטה להילחץ ולהפוך למתוסכלת במהירות,
mood_stability,EMOTIONAL STABILITY,1,יציבות רגשית,Emotional stability,,,בעל מזג יציב ונוח.,בעלת מזג יציב ונוח.,,מצב רוחו יטה להישאר יציב.,מצב רוחו יטה להישאר יציב.,,"יטה לשינויים תכופים במצב הרוח, דבר אשר עשוי להקשות על התנהלותו מול לקוחות וממשקים נוספים","תיטה לשינויים תכופים במצב הרוח, דבר אשר עשוי להקשות על התנהלותוה מול לקוחות וממשקים נוספים",
ASSERTIVENESS,ASSERTIVENESS,1,אסרטיביות,Assertiveness,"יכולתו של אדם לעמוד על שלו באופן מכבד ולא אגרסיבי. 
ביטוי רגשות ודעות בבהירות ובנחישות.
",,"יטיב לשלוט בתוכן השיחה ולהוביל למכירה מול הלקוח.
יצליח להעביר מסר ברור ללקוח גם במצבים מורכבים או קשיים בתקשורת.
יחתור באופן פעיל להשגת יעדיו והגדלת המכירה / למענה מלא על צרכי הלקוח.

בצוות ובארגון-
יטה לקחת את הפיקוד במשימות צוותיות.
ישפיע על עמיתיו לעבודה. 
","תטיב לשלוט בתוכן השיחה ולהוביל למכירה מול הלקוח.
תצליח להעביר מסר ברור ללקוח גם במצבים מורכבים או קשיים בתקשורת.
תחתור באופן פעיל להשגת יעדיה והגדלת המכירה / למענה מלא על צרכי הלקוח.

בצוות ובארגון-
תיטה לקחת את הפיקוד במשימות צוותיות.
תשפיע על עמיתיה לעבודה. 
",,"לעיתים, כאשר יעמוד מול לקוחות במצבים מורכבים, יתקשה לחתור למכירה/ יאבד מיקוד ויתקשה לענות לצרכי הלקוח.
במצבים מורכבים יתכן ויתקשה להעביר מסר ברור ללקוח.


בצוות ובארגון-
במקרים מסוימים  יתפוס מקום מרכזי יותר בצוות ובאחרים יבחר לשמור על פרופיל נמוך.
","לעיתים, כאשר תעמוד מול לקוחות במצבים מורכבים, תתקשה לחתור למכירה/ תאבד מיקוד ותתקשה לענות לצרכי הלקוח.
במצבים מורכבים תתכן ותתקשה להעביר מסר ברור ללקוח.


בצוות ובארגון-
במקרים מסוימים  תתפוס מקום מרכזי יותר בצוות ובאחרים תבחר לשמור על פרופיל  נמוך.",,"ייתכן ויתקשה לנווט את הלקוח אל עבר מטרותיו.
עשוי להיתקל בקשיים מול התנגדויות ולקוחות בעייתיים (יגיב באגרסיביות או באופן לא תואם).
יתקשה לעמוד על שלו ולכוון ליעדיו מול לקוחות ""עקשנים"".


בצוות ובארגון-
ישמור על פרופיל נמוך.
סביר שלא ינסה למשוך תשומת לב ולהשמיע את דעתו.
","ייתכן ותתקשה לנווט את הלקוח אל עבר מטרותיה.
עשויה להיתקל בקשיים מול התנגדויות ולקוחות בעייתיים (תגיב באגרסיביות או באופן לא תואם).
תתקשה לעמוד על שלה ולכוון ליעדיו מול לקוחות ""עקשנים"".


בצוות ובארגון-
תשמור על פרופיל נמוך.
סביר שלא תנסה למשוך תשומת לב ולהשמיע את דעתה.",
MOTIVATION TO MAKE MONEY,MOTIVATION TO MAKE MONEY,1,מוטיבציה להרוויח כסף,Money Motivation,"הרצון להרוויח כסף מהווה מוטיבציה מרכזית בעבודה. 
שאיפה לעצמאות ורווחה כלכלית, תפיסת הכסף כסמל סטטוס.
",,"יפעל במוטיבציה גבוהה למול משימות אשר יגדילו את שכרו (סגירת עסקאות, טיפול בפניות) 
המוטיבציה העיקרית שלו בתפקיד היא הרצון להרוויח כסף.
","תפעל במוטיבציה גבוהה למול משימות אשר יגדילו את שכרה (סגירת עסקאות, טיפול בפניות) 
המוטיבציה העיקרית שלה בתפקיד היא הרצון להרוויח כסף.
",,"השכר והבונוסים חשובים לו אך ניתן לתמרץ אותו בדרכים שונות נוספות (הכרת תודה, מתן תחומי אחריות וכו').","השכר והבונוסים חשובים לה אך ניתן לתמרץ אותה בדרכים שונות נוספות (הכרת תודה, מתן תחומי אחריות וכו').",,המוטיבציה שלו לתפקיד אינה כספית.,המוטיבציה שלה  לתפקיד אינה כספית.,
SOCIAL DESIRABILITY,SOCIAL DESIRABILITY,0,רצייה חברתית,Social desireability,נטייה לענות על שאלות בצורה מרצה ולנהל רושם.,,"<B>*שים/י לב, באיילון העובדים הטובים הם בעלי נטייה גבוה יותר לריצוי</B>  
<br><br>
יפגין רצון עז לייצר רושם חיובי, גם במחיר חוסר דיוק. 
ישקיע מאמץ על מנת לרצות אחרים.
","<B>*שים/י לב, באיילון העובדים הטובים הם בעלי נטייה גבוה יותר לריצוי</B>  
<br><br>
תפגין רצון עז לייצר רושם חיובי, גם במחיר חוסר דיוק. 
תשקיע מאמץ על מנת לרצות אחרים.
",,"<B>*שים/י לב, באיילון העובדים הטובים הם בעלי נטייה גבוה יותר לריצוי</B>  
<br><br>
לעיתים יציג עצמו כפי שהוא ולעיתים יעשה מאמץ על מנת לייצר רושם חיובי.","<B>*שים/י לב, באיילון העובדים הטובים הם בעלי נטייה גבוה יותר לריצוי</B>  
<br><br>
לעיתים תציג עצמה כפי שהיא ולעיתים תעשה מאמץ על מנת לייצר רושם חיובי.",,"<B>*שים/י לב, באיילון העובדים הטובים הם בעלי נטייה גבוה יותר לריצוי</B>  
<br><br>
אינו מנהל רושם. מציג עצמו כפי שהוא.
לא יתאמץ על מנת לרצות אחרים.
","<B>*שים/י לב, באיילון העובדים הטובים הם בעלי נטייה גבוה יותר לריצוי</B>  
<br><br>
אינה מנהלת רושם. מציגה עצמה כפי שהיא.
לא תתאמץ על מנת לרצות אחרים.
",
WORK TENDENCY,WORK TENDENCY,0,העדפה לעבוד לבד,Team player,"נטייה להעדפת עבודת צוות על פני עבודה יחידנית.
אמונה בכוחה של הקבוצה.
",,"<B>*שים/י לב, באיילון העובדים הטובים ביותר נוטים להעדיף עבודה יחידנית על פני עבודת צוות</B>
<br><br>
ישקיע מאמץ 
בעמידה ביעדים צוותים.
נהנה מעבודה בצוות ועובד טוב עם אחרים.
במקרים מסוימים יעדיף את הצלחת הצוות על הצלחתו האישית.
שואף לשיתוף פעולה עם חברי הצוות וההנהלה.
","<B>*שים/י לב, באיילון העובדים הטובים ביותר נוטים להעדיף עבודה יחידנית על פני עבודת צוות</B>
<br><br>
תשקיע מאמץ בעמידה ביעדים צוותים.
נהנית מעבודה בצוות ועובדת טוב עם אחרים.
במקרים מסוימים תעדיף את הצלחת הצוות על הצלחתה האישית.
שואפת לשיתוף פעולה עם חברי הצוות וההנהלה.

",,"<B>*שים/י לב, באיילון העובדים הטובים ביותר נוטים להעדיף עבודה יחידנית על פני עבודת צוות</B>
<br><br>
יתכן ויתקשה להבין את החשיבות של משימות מערכתיות וצוותיות.
ייעזר בחברי הצוות אם יידרש לכך.
","
<B>*שים/י לב, באיילון העובדים הטובים ביותר נוטים להעדיף עבודה יחידנית על פני עבודת צוות</B>
<br><br>
יתכן ותתקשה להבין את החשיבות של משימות מערכתיות וצוותיות.
תיעזר בחברי הצוות אם תידרש לכך.
",,"<B>*שים/י לב, באיילון העובדים הטובים ביותר נוטים להעדיף עבודה יחידנית על פני עבודת צוות</B>
<br><br>
יעדיף עבודה יחידנית.
""יתעסק בשלו"" ולא יסייע לחברי הצוות.
יתקשה להבין את החשיבות של משימות מערכתיות וצוותיות.
לא מעוניין בשיתוף פעולה עם חברי הצוות וההנהלה.
","<B>*שים/י לב, באיילון העובדים הטובים ביותר נוטים להעדיף עבודה יחידנית על פני עבודת צוות</B>
<br><br>
תעדיף עבודה יחידנית.
""תתעסק בשלה"" ולא תסייע לחברי הצוות.
תתקשה להבין את החשיבות של משימות מערכתיות וצוותיות.
לא מעוניינת בשיתוף פעולה עם חברי הצוות וההנהלה.
",
ATTENTIVENESS TO DETAILS ,ATTENTIVENESS TO DETAILS ,1,תשומת לב לפרטים,Attentiveness to Detail,"חתירה ליסודיות ודיוק בביצוע משימה, תוך שימת לב לכל התחומים הקשורים וסגירת כל הקצוות.",,"יבצע משימותיו באופן מדויק.
יהיה יסודי בעבודתו  במהלך השיחה יעבור על כל הפרטים, יסגור את כל הקצוות.
ידאג לתיעוד כל פרטי השיחה.
ייתכן ויקדיש זמן רב מהנדרש לפרטים הקטנים.

בצוות ובארגון-
יבצע בקרה על עבודת חברי הצוות האחרים. 
","תבצע משימותיה באופן מדויק.
תהיה יסודית בעבודתה – במהלך השיחה תעבור על כל הפרטים, תסגור את כל הקצוות.
תדאג לתיעוד כל פרטי השיחה.
תקדיש זמן רב מהנדרש בפרטים הקטנים.

בצוות ובארגון-
תבצע בקרה על עבודת חברי הצוות האחרים. 
",,"ייתכן ויפספס פרטים קטנים הקשורים למכירה או לעבודה מול הלקוח.
במקרים מורכבים, ייתכן ויתקשה לערוך בקרה על עבודתו.

בצוות ובארגון-
לרוב לא ישים לב לפרטים בעבודתם של חברי צוות אחרים.
","ייתכן ותפספס פרטים קטנים הקשורים למכירה או לעבודה מול הלקוח.
במקרים מורכבים, ייתכן ותתקשה לערוך בקרה על עבודתה.

בצוות ובארגון-
לרוב לא תשים לב לפרטים בעבודתם של חברי צוות אחרים.
",,"עלול ""לעגל פינות"" בעבודתו ולהתקשות לבצע בקרה.
יתקשה לשים לב לניואנסים בשיחה.
ייתכן ויתקשה לסיים את כל מעגל הטיפול בלקוח ולסגור את כל הקצוות.
","עלולה ""לעגל פינות"" בעבודתה ולהתקשות לבצע בקרה.
תתקשה לשים לב לניואנסים בשיחה.
ייתכן ותתקשה לסיים את כל מעגל הטיפול בלקוח ולסגור את כל הקצוות.
",
